New Hampshire Thunder Catz,37.0,164.0,14.0,833.0,1611.0,136.0,2
The Vallejo Dumpster Fires,35.0,151.0,29.0,972.0,1528.0,80.0,17
Cokeland Player Haters,33.0,146.0,36.0,971.0,1501.0,108.0,13
Cokeland Player Haters,31.0,171.0,13.0,798.0,1644.0,138.0,19
The Vallejo Dumpster Fires,30.0,152.0,33.0,959.0,1484.0,137.0,18
Johto Hoe-Ohs,30.0,159.0,26.0,948.0,1518.0,114.0,2
Easy Game Easy Life,29.0,164.0,22.0,874.0,1542.0,164.0,4
Ozuna Matata,29.0,170.0,16.0,809.0,1648.0,123.0,16
The Tall Sexy Tyrion,29.0,171.0,15.0,759.0,1643.0,178.0,20
Minnesota Islanders,26.0,170.0,19.0,810.0,1600.0,170.0,3
Dicks Out for TROUT,25.0,165.0,25.0,805.0,1605.0,170.0,9
The Vallejo Dumpster Fires,24.0,172.0,19.0,826.0,1621.0,133.0,14
Ctrl Altuve Delete,24.0,174.0,17.0,1013.0,1478.0,89.0,13
Minnesota Islanders,24.0,177.0,14.0,762.0,1639.0,179.0,18
The Tall Sexy Tyrion,23.0,168.0,24.0,933.0,1540.0,107.0,7
The Tall Sexy Tyrion,23.0,169.0,23.0,778.0,1670.0,132.0,13
Confortobly Numb,21.0,175.0,19.0,840.0,1632.0,108.0,18
Ctrl Altuve Delete,21.0,184.0,10.0,764.0,1693.0,123.0,7
Easy Game Easy Life,20.0,173.0,22.0,834.0,1590.0,156.0,12
Easy Game Easy Life,20.0,180.0,15.0,738.0,1733.0,109.0,17
Minnesota Islanders,20.0,181.0,14.0,721.0,1719.0,140.0,10
Johto Hoe-Ohs,18.0,181.0,16.0,810.0,1666.0,104.0,16
The Tall Sexy Tyrion,17.0,181.0,17.0,932.0,1538.0,110.0,3
Dicks Out for TROUT,17.0,186.0,12.0,766.0,1709.0,105.0,20
New Hampshire Thunder Catz,17.0,187.0,11.0,660.0,1782.0,138.0,19
Johto Hoe-Ohs,16.0,183.0,16.0,727.0,1726.0,127.0,20
New Hampshire Thunder Catz,16.0,192.0,7.0,706.0,1757.0,117.0,13
Minnesota Islanders,12.0,184.0,19.0,769.0,1659.0,152.0,19
Johto Hoe-Ohs,11.0,183.0,21.0,795.0,1654.0,131.0,4
New Hampshire Thunder Catz,10.0,197.0,8.0,618.0,1802.0,160.0,12
Ctrl Altuve Delete,10.0,200.0,5.0,710.0,1744.0,126.0,20
New Hampshire Thunder Catz,8.0,193.0,14.0,602.0,1863.0,115.0,16
The Tall Sexy Tyrion,8.0,198.0,9.0,602.0,1839.0,139.0,17
Easy Game Easy Life,8.0,202.0,5.0,642.0,1841.0,97.0,14
New Hampshire Thunder Catz,7.0,202.0,6.0,625.0,1856.0,99.0,11
The Vallejo Dumpster Fires,3.0,205.0,7.0,626.0,1863.0,91.0,7
New Hampshire Thunder Catz,3.0,210.0,2.0,354.0,2099.0,127.0,9
Johto Hoe-Ohs,1.0,211.0,3.0,496.0,1992.0,92.0,19
Johto Hoe-Ohs,1.0,212.0,2.0,315.0,2142.0,123.0,10
